,dn0_lo10,dn0_med,dn0_up90,rn0_lo10,rn0_med,rn0_up90,gamman_lo10,gamman_med,gamman_up90,bioassay_mortality
1,0.512503425,0.515818637,0.516305159,0.475540818,0.476817704,0.480424601,2.642454103,2.699988495,3.040341717,1
2,0.512437995,0.515818863,0.516303299,0.475549255,0.476798969,0.480390625,2.638096151,2.695015304,3.03601981,0.99
3,0.512370824,0.515811646,0.516303789,0.47555171,0.476778374,0.480356236,2.633530901,2.690254957,3.028609473,0.98
4,0.51230322,0.515794656,0.516302229,0.475550425,0.476755563,0.48034828,2.628878203,2.686082957,3.021345963,0.97
5,0.512234587,0.515785589,0.516301336,0.475551773,0.476726587,0.48029121,2.623582679,2.680529032,3.015024805,0.96
6,0.512164453,0.515781601,0.516300129,0.475550126,0.476702075,0.480256171,2.617455623,2.675451245,3.00919507,0.95
7,0.512092775,0.515766937,0.516298759,0.475549139,0.476676872,0.480220767,2.611721731,2.669907209,3.003310225,0.94
8,0.512019505,0.515759327,0.516297388,0.475550693,0.476646944,0.480171979,2.606415421,2.664419826,2.997372013,0.93
9,0.511944594,0.515752943,0.516299609,0.475552115,0.476623578,0.480119156,2.59995122,2.658463048,2.990476725,0.92
10,0.511867993,0.515735488,0.516301097,0.475556026,0.476609964,0.480094426,2.593579869,2.654141719,2.981086443,0.91
11,0.511789649,0.515718962,0.516302124,0.475556266,0.476589599,0.480071253,2.58751422,2.649950832,2.97330796,0.9
12,0.511707878,0.51572478,0.516302993,0.475553874,0.476575927,0.480045376,2.58135859,2.644093493,2.968219426,0.89
13,0.511569523,0.51571744,0.516303984,0.475559289,0.476558002,0.479982837,2.574826899,2.638690975,2.963080609,0.88
14,0.511426924,0.515699029,0.516304663,0.475561308,0.476546268,0.479917507,2.567903496,2.634253116,2.957890452,0.87
15,0.511358938,0.515706388,0.516303552,0.475550979,0.4765229,0.479888032,2.560997803,2.629071767,2.952647866,0.86
16,0.511206275,0.515689737,0.516299077,0.47555043,0.476527781,0.479826816,2.553558343,2.624383513,2.947242328,0.85
17,0.511080651,0.515670752,0.516296523,0.475550087,0.476520394,0.479764137,2.546126325,2.619384198,2.941253597,0.84
18,0.510963997,0.515648368,0.516296003,0.475547991,0.476500501,0.479791102,2.538463562,2.613468595,2.93691762,0.83
19,0.510821236,0.515625261,0.516295149,0.475544544,0.476476214,0.479741622,2.531111054,2.607727284,2.931615257,0.82
20,0.510702522,0.515604045,0.51629226,0.475536738,0.476454179,0.479688628,2.523159219,2.602567879,2.926256354,0.81
21,0.510584094,0.515579887,0.516291355,0.4755315,0.476423538,0.479633574,2.51597708,2.598909823,2.919904111,0.8
22,0.510455425,0.515559632,0.516291753,0.475529988,0.476404224,0.479620676,2.508756434,2.593128622,2.913244817,0.79
